,Naam,Gemeente,"NACE BEL 2008,
primaire code","Personeelsbestand (Laatste jaar)
Laatst beschikb. jr","Turnover LY
dz EUR
Laatst beschikb. jr","Totaal der activa
EUR
Laatst beschikb. jr",Ondernemingsnummer,Postcode,Adres,Telefoon,Web adres,E-mail adres
7214.,NATUURPUNT NATUURACADEMIE,MECHELEN,85593,19,n.b.,"2,064,284",0409 154 512,2800,Coxiestraat 11,+32 3 226 02 91,,
7215.,MARKANT - NETWERK VAN ONDERNEMENDE VROUWEN,VILVOORDE,94992,18,n.b.,"3,380,961",0409 220 729,1800,Hendrik I-lei 296,+32 2 286 93 30,,
7216.,DURME,LOKEREN,91042,10,n.b.,"5,967,870",0409 336 931,9160,Molsbergenstraat 1,+32 9 348 30 20,,info@vzwdurme.be
7217.,CAR DE HERT,AALST,86905,26,n.b.,"3,604,297",0409 371 672,9300,Rozendreef 250,+32 53 63 19 85,,
7218.,HUIZE SINT-ELISABETH,TURNHOUT,87101,25,n.b.,"12,216,675",0409 479 659,2300,Herentalsstraat 64,+32 14 26 53 70,,
7219.,WOONZORGCENTRUM SINT-FELIX,HERNE,87101,48,n.b.,"12,687,927",0409 583 092,1540,Lindestraat 3,+32 2 398 01 10,,
7220.,BISDOM HASSELT,HASSELT,94910,12,n.b.,"30,884,666",0409 771 253,3500,Paul Bellefroidlaan 2C,+32 11 28 84 40,www.bisdomhasselt.be,
7221.,JESODE-HATORA-BETH-JACOB,ANTWERPEN,85314,29,n.b.,"8,525,047",0409 895 967,2018,Lange Van Ruusbroecstraat 12 b.34,+32 3 239 25 35,,
7222.,VZW FILOSOPHISCH EN THEOLOGISCH COLLEGE VAN DE SOCIETEIT VAN JEZUS,HEVERLEE,94910,26,n.b.,"6,066,764",0409 898 244,3001,Waversebaan 220,+32 16 40 40 21,,
7223.,JUNITAS,GENK,,28,n.b.,"3,674,482",0409 931 304,3600,Sint-Martensbergstraat 36,+32 89 35 86 30,,
7224.,ROYAL KEERBERGEN GOLF CLUB,KEERBERGEN,93199,10,n.b.,"3,000,623",0409 980 495,3140,Vlieghavenlaan 50,+32 15 23 49 61,,
7225.,GASTHUISZUSTERS-AUGUSTINESSEN VAN LIER,LIER,94910,27,n.b.,"4,691,553",0409 993 660,2500,Kapucijnenvest 18,+32 3 455 89 48,,
7226.,"VKW-LIMBURG, DE LIMBURGSE WERKGEVERSORGANISATIE",HASSELT,94110,16,n.b.,"6,325,146",0410 119 661,3500,Kunstlaan 16,+32 11 24 94 11,,limburg@vkw.be
7227.,ZUSTERS VAN MARIA,PITTEM,94910,14,n.b.,"26,244,288",0410 216 760,8740,Stationsstraat 1,+32 51 46 60 51,www.zrsmaria-ing.be,
7228.,VERENIGING DER ZUSTERS VAN HET H HART VAN MARIA,'S GRAVENWEZEL,94910,12,n.b.,"18,029,911",0410 219 037,2970,Oudaen 72,+32 3 384 08 50,,
7229.,MARIAZUSTERS VAN FRANCISCUS-ROOSENBERG-WAASMUNSTER,WAASMUNSTER,94910,9,n.b.,"16,220,200",0410 219 829,9250,Kerkstraat 14,+32 52 33 88 50,,
7230.,ZUSTERS MISSIONARISSEN VAN HET ONBEVLEKT HART VAN MARIA,HEVERLEE,94910,44,n.b.,"21,314,484",0410 220 225,3001,Naamsesteenweg 575,+32 16 40 32 40,,
7231.,IONA VOOR HEILPEDAGOGIE EN SOCIAALTHERAPIE,KESSEL,47810,73,n.b.,"2,576,290",0410 269 814,2560,Nieuwe Bevelsesteenweg 66,+32 497 525 803,,
7232.,SPOREN,HEVERLEE,87901,111,0,"10,236,299",0410 290 006,3001,Geldenaaksebaan 428,+32 16 38 76 10,,
7233.,NATIONAAL WERK VOOR HET GEHANDICAPTE KIND,MAASMECHELEN,55203,24,n.b.,"4,816,394",0410 343 355,3630,Weldoenerslaan 5,+32 89 77 41 50,,
7234.,KONINKLIJK WERK IBIS,BREDENE,85324,38,n.b.,"6,991,382",0410 392 548,8450,Prinses Elisabethlaan 1,+32 59 32 24 84,,
7235.,ELEGAST,ANTWERPEN,87901,173,0,"12,519,755",0410 412 146,2018,Belgiëlei 203,+32 3 232 60 20,www.elegast.be,
7236.,ONZE KINDEREN,RUMBEKE,87901,122,0,"8,357,863",0410 412 245,8800,Blinde-Rodenbachstraat 23,+32 497 172 553,www.vzw-ok.be,
7237.,ZUSTERS ONZE-LIEVE-VROUW VAN 7 WEEEN RUISELEDE,RUISELEDE,94910,9,n.b.,"27,890,935",0410 423 925,8755,Bruggestraat 29,+32 50 39 63 00,www.olv7weeen.be,
7238.,KIN/OPH,HEVERLEE,94910,9,n.b.,"2,994,389",0410 433 922,3001,Abdij van Park 5,+32 16 39 50 60,,
7239.,ZUSTERS VAN VOORZIENIGHEID EN DE ONBEVLEKTE ONTVANGENIS REGIO,DIEST,94910,9,n.b.,"20,426,569",0410 442 830,3290,Demerstraat 10,+32 13 33 33 61,,
7240.,CHRISTELIJKE VERENIGING ONS KINDERHUIS,GENK,87901,33,n.b.,"2,529,631",0410 536 167,3600,Erfstraat 10,+32 89 41 06 10,,
7241.,PROVINCIALAAT DER ZUSTERS BARMHARTIGHEID RONSE KLOOSTER TE,RONSE,94910,15,n.b.,"4,588,124",0410 587 439,9600,Kruisstraat 57,+32 55 23 38 60,,
7242.,ROYAL BELGIAN SAILING CLUB,HEIST-AAN-ZEE,52100,27,n.b.,"5,819,515",0410 592 090,8301,Zeedijk-Duinbergen 430A,+32 9 227 72 15,www.rbsc.be,
7243.,TER HELME VZW,OOSTDUINKERKE,55202,28,n.b.,"5,798,491",0410 850 626,8670,Kinderlaan 49,+32 58 23 45 02,,terhelme@terhelme.be
7244.,ANGELE. VERBURGHT,DEINZE,87304,33,n.b.,"4,807,395",0410 867 947,9850,Dennendreef 53,+32 9 371 66 11,,
7245.,DOMUS MEDICA,ANTWERPEN,94120,22,n.b.,"3,762,266",0410 872 303,2018,Lange Leemstraat 187,+32 3 281 16 16,,secretariaat@wvvh.be
7246.,VERENIGING TOT JEUGDBESCHERMING WINGERDBLOEI,DEURNE,87901,140,0,"9,069,114",0410 878 241,2100,Waterbaan 153,+32 484 156 272,,
7247.,GESTICHT DER ZUSTERS VAN DE HEILIGE VINCENTIUS,IEPER,88911,21,n.b.,"6,280,556",0410 918 031,8900,de Stuersstraat 32,+32 478 212 320,,
7248.,"CULTURELE EN SOCIALE WERKEN SINT - VINCENTIUS, DEINZE",DEINZE,87301,25,n.b.,"16,267,611",0410 918 229,9800,Meulenstraat 24,+32 9 386 93 49,,
7249.,SPORTSCHOOL MEULEBEKE VZW,MEULEBEKE,85314,14,n.b.,"4,015,731",0410 981 773,8760,Ingelmunstersteenweg 1A,+32 51 48 88 91,,
7250.,WESTVLAAMSE POLITIESCHOOL,ZEDELGEM,85592,19,n.b.,"2,577,621",0411 022 652,8210,Diksmuidse Heirweg 6,+32 50 40 45 40,,
7251.,UNIE VAN HET KMO-BOUWBEDRIJF,VILVOORDE,94110,18,n.b.,"10,182,806",0411 024 830,1800,Maria-Theresialaan 35,+32 2 588 11 00,,
7252.,ZUSTERS VAN HET GELOOF,TIELT,94910,16,n.b.,"32,996,633",0411 063 432,8700,Ruiseleedsesteenweg 42,+32 51 40 03 02,,
7253.,ROYAL LATEM GOLF CLUB,SINT-MARTENS-LATEM,93110,12,n.b.,"2,855,115",0411 084 911,9830,Latemstraat 120,+32 9 282 54 11,,
7254.,VANDEZANDE,DIKSMUIDE,42919,57,n.b.,"14,160,150",0411 092 037,8600,Zeepziederijstraat 5,+32 51 50 01 17,www.vandezande.com,
7255.,BINTZ TECHNICS,ZAVENTEM,46900,11,n.b.,"3,345,969",0411 094 413,1930,Brixtonlaan 23,+32 2 720 49 16,www.bintz.be,info@bintz.be
7256.,VERHAEGHE ALGEMENE BOUWONDERNEMING,BRUGGE,41201,16,n.b.,"2,992,780",0411 101 143,8000,Spiegelrei 11,+32 50 82 30 33,www.nv-verhaeghe.be,
7257.,LESAGE INDUSTRIES,REKKEM,31010,14,n.b.,"10,727,654",0411 105 497,8930,LAR blok Z 4 b.Z,+32 56 41 45 51,www.lesage.be,info@lesage.be
7258.,EUROLIJSTEN,EKE,46494,25,n.b.,"4,364,195",0411 111 437,9810,Tulpenstraat 13,+32 9 385 63 02,www.eurolijsten.be,info@eurolijsten.be
7259.,RAMPELBERG SOMERS,MACHELEN (BT.),46741,12,n.b.,"2,341,215",0411 506 266,1830,Trawoollaan 1,+32 2 251 11 33,www.airliquide.be,info@rampelberg-somers.be
7260.,SHAMROCK,TIELT,55100,16,n.b.,"3,568,423",0411 526 062,8700,Euromarktlaan 24,+32 51 40 15 31,www.shamrock.be,info@shamrock.be
7261.,GABA,LIER,47191,13,n.b.,"2,470,853",0411 557 142,2500,Mechelsesteenweg 106 B,+32 3 488 31 64,,
7262.,ORANJEHUIS,KORTRIJK,87901,92,n.b.,"4,153,686",0411 562 882,8501,Moorseelsestraat 146,+32 56 35 88 76,,info@oranjehuis.be
7263.,INITIATIEF BESCHUT WONEN MIN,ANTWERPEN,,18,n.b.,"2,703,374",0411 565 456,2060,Erwtenstraat 27,+32 3 295 00 10,,beschutwonen.min@antwerpen.be
7264.,TRANSPORT RETIE,RETIE,49410,15,n.b.,"2,166,366",0411 607 424,2470,Kelderbeemd 7,+32 14 37 14 92,www.transportretie.be/,info@transportretie.be
7265.,IJZERWAREN 'T PANNENHUIS,KALMTHOUT,47521,14,n.b.,"4,576,733",0411 632 267,2920,Kapellensteenweg 19,+32 3 666 80 03,,
7266.,PISCAER,MECHELEN,46431,14,n.b.,"5,434,168",0411 641 472,2800,Battelsesteenweg 451,+32 15 29 45 60,,
7267.,STICHTING LIMBURGS LANDSCHAP,ZOLDER,91042,23,n.b.,"26,469,194",0411 646 818,3550,Dekenstraat 39,+32 484 879 013,www.limburgs-landschap.be,
7268.,LUNA,HASSELT,86109,28,n.b.,"4,712,802",0411 658 991,3500,Gouverneur Roppesingel 81,+32 11 23 29 91,,
7269.,DAKWERKEN JONCKHEERE,WILSKERKE,43910,11,n.b.,"3,987,024",0411 667 802,8431,Spermaliestraat 32,+32 59 30 16 79,,
7270.,FIRMIN OTTEVAERE & CO,MELDEN,23630,26,n.b.,"10,120,772",0411 674 235,9700,Meersbloem-Melden 20,+32 55 33 48 11,www.obc-ottevaere.be,info@obc-ottevaere.be
7271.,ALGEMENE BOUWONDERNEMING SMITS,OELEGEM,41201,26,n.b.,"2,960,218",0411 680 668,2520,Everhoek 2,+32 3 383 14 64,www.smits.be,smits.nv@pandora.be
7272.,WEVERIJ G.G.DELABIE,ANZEGEM,13200,20,n.b.,"2,358,138",0411 898 127,8570,Klijtberg 96,+32 56 77 72 26,,info@ggdelabie.be
7273.,B.V.M.-VAMOR,ERPE,25999,23,n.b.,"3,550,994",0411 904 956,9420,Joseph Cardijnstraat 13,+32 53 80 47 33,www.bvmvamor.be,info@bvmvamor.be
7274.,VAN VAERENBERGH,EREMBODEGEM,47113,16,n.b.,"6,870,843",0411 905 154,9320,Hogeweg 51,+32 53 77 77 78,gijsvanvaerenbergh.com,
7275.,LUCKY STAR,OLEN,93299,9,n.b.,"2,590,441",0411 911 488,2250,Industrielaan 3,+32 14 22 22 22,,
7276.,STUYTS,HALLE (KEMPEN),43320,29,n.b.,"2,860,575",0411 927 821,2980,Heideweg 39,+32 3 384 38 42,www.stuyts.be,info@stuyts.be
7277.,BOUWCENTER DILS,HULSHOUT,46731,20,n.b.,"3,157,995",0411 928 118,2235,Nijverheidsstraat 12,+32 15 22 23 22,www.bouwcenterdils.be/,info@bouwcenterdils.be
7278.,HARTEX,DESSELGEM,28940,16,n.b.,"4,139,828",0411 930 789,8792,Pitantiestraat 138,+32 56 73 31 51,www.hartex.be,
7279.,VAN EYCKEN METAL CONSTRUCTION,TIENEN,25110,33,n.b.,"7,700,713",0411 941 776,3300,Walstraat 9,+32 16 49 97 00,www.vaneycken.be,info@vaneycken.be
7280.,"BROUWERS, OPVOLGERS C. ROEVENS",HOEVENEN,43331,18,n.b.,"2,728,948",0411 944 845,2940,Witvenstraat 163,+32 3 664 60 91,www.roevens-tegel.be,brouwers.bvba@skynet.be
7281.,EVANGELISCHE THEOLOGISCHE FACULTEIT,HEVERLEE,85422,22,n.b.,"3,464,999",0411 947 023,3001,Sint-Jansbergsesteenweg 97,+32 16 20 08 95,,
7282.,TRANSPORT FREDDY,STRIJTEM,49410,23,n.b.,"2,692,537",0411 965 136,1760,Kerkveldstraat 11,+32 54 33 58 68,,
7283.,CENTRUM VOOR JEUGDZORG DE KANTEL VZW,SINT-ANDRIES,87901,55,0,"6,140,645",0411 971 371,8200,Legeweg 201,+32 50 31 58 55,,
7284.,KINDERDAGVERBLIJF KARBONKELTJE,PELT,88911,25,n.b.,"2,753,165",0411 972 658,3900,Maesensveld 3,+32 11 82 60 00,,
7285.,MARTENS TRAKTOR,BREE,46610,14,n.b.,"2,691,536",0411 972 856,3960,Kipdorpstraat 52,+32 89 46 05 20,www.martens-traktor.be,info@martens-traktor.be
7286.,LEMMENSINSTITUUT,LEUVEN,85324,11,n.b.,"3,161,939",0411 975 331,3000,Lemmensberg 3,+32 16 79 90 05,,
7287.,POLLERS EN ZONEN,ZOLDER,25110,26,n.b.,"3,366,256",0411 976 420,3550,Dellestraat 3,+32 13 52 17 01,,info@pollers.be
7288.,LIKEURSTOKERIJ LANNEAU,HARELBEKE,11020,9,n.b.,"2,447,335",0411 979 190,8530,Vaarnewijkstraat 10,+32 56 71 24 53,www.likeuren.be,
7289.,LEVRAU,WAKKEN,41203,26,n.b.,"8,048,161",0411 979 487,8720,Molenstraat 35,+32 56 60 08 62,,levrau.nv@cobonet.be
7290.,SCAPA RETAIL,BRASSCHAAT,47711,12,n.b.,"13,168,413",0411 987 506,2930,Ruiterijschool 15 b.1,+32 89 46 62 04,www.justformen.com,
7291.,BROOKLYN,HARELBEKE,47716,41,n.b.,"5,722,345",0412 018 089,8530,Politieke Gevangenenstraat 34,+32 56 21 80 24,www.brooklyn.be,info@brooklyn.be
7292.,MARBOR,HOEPERTINGEN,23700,11,n.b.,"2,551,706",0412 038 182,3840,Beekstraat 50,+32 12 67 08 30,www.marbor.be,info@marbor.be
7293.,HERBAVITA,RUIEN,46389,22,n.b.,"3,034,269",0412 058 275,9690,Avelgemstraat 17,+32 55 38 89 59,,info@herbavita.org
7294.,DE DUYTSCHE,MOORSLEDE,52100,33,n.b.,"4,198,304",0412 075 103,8890,Briekhoekstraat 10,+32 492 735 264,,
7295.,WASSERIJ IDEALE,EKEREN,96011,40,n.b.,"2,833,476",0412 090 246,2180,Kapelsesteenweg 519,+32 3 664 21 92,www.ideale.be,info@ideale.be
7296.,ROBUCO,BUGGENHOUT,42110,35,n.b.,"8,908,753",0412 099 055,9255,Genthof 4,+32 52 39 91 99,www.robuco.be,info@robuco.be
7297.,STAVELSE METAALBOUW,ALVERINGEM,28490,36,n.b.,"5,970,485",0412 099 748,8691,Kallestraat 25,+32 57 30 13 11,www.stavelse.be,
7298.,TERLAMEN,ZOLDER,93110,9,n.b.,"6,799,128",0412 112 715,3550,Terlaemen 30,+32 11 85 88 88,www.circuit-zolder.be,info@circuit-zolder.be
7299.,KRUISLINK,BEERSE,87901,48,0,"4,669,261",0412 113 111,2340,Bisschopslaan 82,+32 14 61 61 13,,
7300.,INGENIEURS- ONTWERP- EN COORDINATIEBUREAU,WILSELE,71121,36,n.b.,"5,681,802",0412 122 316,3012,Kolonel Begaultlaan 1C,+32 16 50 81 00,www.stabo.be,info@stabo.be
7301.,GLASHANDEL J.FRANCIER,OOSTENDE,46190,10,n.b.,"2,205,575",0412 133 895,8400,Torhoutsesteenweg 509,+32 59 70 15 55,,francier@pandora.be
7302.,CONDECO,DIKSMUIDE,23610,45,n.b.,"3,959,689",0412 140 033,8600,Heernisse 11,+32 51 55 01 70,www.verburo.be,info@verburo.be
7303.,DIABETES LIGA VZW,GENT,94993,20,n.b.,"3,073,645",0412 404 705,9000,Ottergemsesteenweg 456,+32 9 220 05 20,www.diabetes-vdv.be/,
7304.,JANSSENS,LIER,25120,34,n.b.,"4,281,592",0412 421 333,2500,Mechelsesteenweg 388,+32 15 30 67 80,www.janssens-alusystems.be,info@janssens-alusystems.be
7305.,CRETES,GULLEGEM,28990,31,n.b.,"5,804,285",0412 423 610,8560,Bissegemstraat 169,+32 56 41 10 94,www.vandommele.be,info@vandommele.be
7306.,KONINGINNEHOF,OOSTENDE,56101,13,n.b.,"2,058,705",0412 430 340,8400,Maria-Hendrikapark,+32 475 537 063,www.koninginnehof.be/,
7307.,DEBEVER,ZWEVEZELE,43221,25,n.b.,"3,690,895",0412 449 938,8750,Flandria 20,+32 51 62 07 47,www.debever.be,info@debevernv.be
7308.,LA RAMEN JEAN LANSSENS,DENTERGEM,43320,34,n.b.,"3,753,762",0412 458 054,8720,Meulebekesteenweg 6,+32 51 63 61 09,www.laramen-lanssens.be,
7309.,HANWEL BELGIUM,TEMSE,46620,9,n.b.,"2,941,860",0412 508 138,9140,Winninglaan 15,+32 2 387 28 64,www.hanweleurope.com,info@hanwel.be
7310.,JUMI BELGIUM,DIEPENBEEK,22290,34,n.b.,"13,932,664",0412 540 109,3590,Katteweidelaan 39,+32 11 35 10 03,www.jumi.be,info@jumi.be
7311.,DE EIKEN ZETEL - D WILLEMS - DE LANGE,EEKLO,31091,13,n.b.,"5,856,522",0412 542 681,9900,Mandeweegsken 76,+32 9 377 45 11,,info@dez.be
7312.,CENTRALE VERWARMING VANMEERHAEGHE,TIELT,43222,18,n.b.,"2,824,586",0412 548 423,8700,Szamotulystraat 13,+32 51 63 39 40,www.primusnet.be,vmh@primusnet.be
7313.,VAN TRAPPEN H.,OOSTERZELE,25110,16,n.b.,"2,231,385",0412 556 737,9860,Dorp 91,+32 9 362 62 64,www.vantrappen.be,
7314.,CHINOH,SINT-ELOOIS-VIJVE,46499,9,n.b.,"3,425,734",0412 570 395,8793,Vijfseweg 202,+32 56 60 74 30,www.chinoh.be,info@chinoh.be
7315.,VERVOER TER VICHTEN,VICHTE,49410,26,n.b.,"3,256,180",0412 577 028,8570,Mekeirleweg 11,+32 56 77 84 97,,
7316.,TRANSPORT MALFROIDI DIEPENDAELE T.M.D.,STEENHUIZE-WIJNHUIZE,49410,36,n.b.,"2,844,191",0412 583 758,9550,Krommestraat 45,+32 54 32 67 11,,
7317.,DE KORF,KORTRIJK,87901,89,0,"9,855,879",0412 583 956,8500,Pottelberg 15,+32 56 22 49 44,dekorf-vzw.be,
7318.,DE DAGERAAD,KONTICH,88995,60,n.b.,"2,171,858",0412 607 613,2550,Heiveldekens 7,+32 3 238 29 56,,dedageraad@village.uunet.be
7319.,T DE NEEF ENGINEERING,HEIST-OP-DEN-BERG,43999,36,n.b.,"6,598,526",0412 618 204,2220,Misweg 3 A,+32 15 22 96 80,www.deneef.net,
7320.,SYLVA,LIEVEGEM,02100,37,n.b.,"5,461,397",0412 620 875,9950,'t Hand 10,+32 9 376 75 75,www.sylva.be,info@sylva.be
7321.,C.R.P. TYRES CENTER,RONSE,45310,13,n.b.,"5,289,753",0412 634 931,9600,Leuzesesteenweg 107,+32 55 20 69 33,,
7322.,SUPPLIMAX,WEVELGEM,46699,34,n.b.,"7,752,447",0412 636 416,8560,Kortrijkstraat 343 b.1,+32 56 42 61 21,www.trucaroul.be,info@trucaroul.be
7323.,MALVE,MEER,24420,36,n.b.,"5,026,914",0412 677 392,2321,John Lijsenstraat 49,+32 3 315 74 04,,
7324.,ENTREPRISE LINIERE LEON VAN DECASTEELE,LENDELEDE,13100,13,n.b.,"7,761,330",0412 691 052,8860,Izegemsestraat 71,+32 51 30 06 56,www.vdc-flax.be,
7325.,ENGELEN-HEERE KOELTECHNIEK EN AIRCONDITIONING,WILRIJK,46697,10,n.b.,"3,504,369",0412 697 683,2610,Fotografielaan 14,+32 3 825 34 58,www.engelen-heere.be,info@engelen-heere.be
7326.,DE BRAAMRAKKERTJES,KORTRIJK,88911,23,n.b.,"3,855,999",0412 700 653,8500,Budastraat 30,+32 475 512 600,,
7327.,JACOBS,ONZE-LIEVE-VROUW-WAVER,23610,32,n.b.,"8,950,633",0412 709 957,2861,Berlaarbaan 404,+32 15 75 53 66,www.jacobsbeton.be,
7328.,RENARD JULES,WAREGEM,49410,28,n.b.,"34,164,088",0412 711 739,8790,Industrielaan 5,+32 56 60 34 44,,
7329.,METAALWERKEN PAMO,SINT-GILLIS-DENDERMONDE,25110,27,n.b.,"8,414,929",0412 718 271,9200,Bosveld 2,+32 52 33 28 98,,info@metaalwerkenpamo.be
7330.,SANITAIR BLONDEEL,MARKE,43221,22,n.b.,"5,159,432",0412 719 657,8510,Hospitaalweg 14,+32 56 22 20 12,www.sanitairblondeel.be,
7331.,ESTHIO,HARELBEKE,56210,17,n.b.,"3,070,566",0412 719 855,8530,Venetiëlaan 47,+32 56 25 98 97,,esthio@skynet.be
7332.,DE UKKIES,HASSELT,88911,81,n.b.,"4,213,770",0412 729 654,3500,Erasmuslaan 14,+32 11 21 21 15,,
7333.,CHEZ MADELEINE,DE HAAN,47114,28,n.b.,"3,178,502",0412 738 067,8420,Stationsstraat 8,+32 59 23 30 57,,
7334.,BODART EN CO,WILRIJK,46431,36,n.b.,"6,258,484",0412 742 225,2610,Terbekehofdreef 60-62,+32 900 100 21,,
7335.,GANDA-CARS,GENT,49310,36,n.b.,"7,506,556",0412 751 529,9000,Perkamentstraat 4,+32 9 253 80 72,,gandacars@skynet.be
7336.,EVIP,KONTICH,43211,36,n.b.,"3,170,055",0412 758 655,2550,Satenrozen 18,+32 3 457 78 35,,info@evip.be
7337.,KINDEROPVANG DE MERELTJES,TONGEREN,88911,56,n.b.,"4,516,410",0412 778 352,3700,Hasseltsesteenweg 16,+32 12 39 57 07,,
7338.,DE WAAIBURG,GEEL,87901,71,0,"6,002,312",0412 792 804,2440,Kameinestraat 35,+32 14 58 11 39,,
7339.,HERRIJGERS,TEMSE,10110,26,n.b.,"3,385,895",0412 796 267,9140,Eurolaan 15,+32 3 314 72 90,www.herrijgers-bvba.be,info@herrijgers.com
7340.,HULSTAERT & CIE.,SINT-NIKLAAS,10890,21,n.b.,"3,464,060",0412 810 917,9100,Europark-Oost 30,+32 3 766 55 25,,hulstaert@skynet.be
7341.,TRANSPORT VAN DE VELDE,MELLE,49410,18,n.b.,"4,312,008",0412 813 984,9090,Brusselsesteenweg 418,+32 9 252 12 25,,
7342.,VLIEGEN,BREE,43221,22,n.b.,"3,449,826",0412 817 449,3960,Meeuwerkiezel 37,+32 89 46 18 94,www.vliegen-nv.com,
7343.,DUTHOO COSTEUR,KORTRIJK,46442,19,n.b.,"3,519,615",0412 821 409,8500,Sint-Rochuslaan 19,+32 56 36 07 74,www.duthoo-costeur.be,info@duthoo-costeur.be
7344.,METAALWERKEN CLAESSEN EN ZN,ARENDONK,25110,23,n.b.,"9,029,503",0412 828 337,2370,Hoge Mauw 110,+32 14 68 93 10,,
7345.,ALGEMENE ELEKTRICITEIT DE MULDER,VURSTE,43211,31,n.b.,"3,393,604",0412 830 218,9890,Leenstraat 61,+32 9 384 25 51,www.demulder.be,info@demulder.be
7346.,CHAUFFAGE DEVELTERE,ROESELARE,43222,27,n.b.,"3,638,848",0412 862 781,8800,Kachtemsestraat 290,+32 51 24 24 25,,info@develtere.be
7347.,NIEUWLAND,SINT-KRUIS,87901,51,0,"3,092,720",0412 872 877,8310,Polderstraat 76,+32 50 35 40 61,,
7348.,UNIE VAN ZELFSTANDIGE ONDERNEMERS LIMBURG,HASSELT,82990,17,n.b.,"2,924,051",0412 875 847,3500,Maastrichtersteenweg 254 b.3,+32 11 26 30 96,www.unizo-lim.be,bouwinnovatie@unizo-lim.be
7349.,AD INTER,DE PANNE,47114,24,n.b.,"2,328,550",0412 881 686,8660,Duinhoekstraat 9,+32 58 41 20 04,,
7350.,FIRMA FERYN,KAPELLE-OP-DEN-BOS,47529,14,n.b.,"8,979,229",0412 899 603,1880,Mechelseweg 87,+32 15 42 42 42,www.feryn.be,info@feryn.be
7351.,UNIC HEUSDEN,HEUSDEN (O.-VL.),47114,47,n.b.,"3,392,986",0412 905 244,9070,Meersstraat 2 b.E,+32 9 230 50 60,,ad.delhaize.heusden@scarlet.be
7352.,U-PARTS,IEPER,25620,34,n.b.,"5,143,887",0412 921 575,8900,Rozendaalstraat 35,+32 57 46 64 82,,
7353.,CIERS BETON,OOSTROZEBEKE,23610,12,n.b.,"2,800,291",0412 921 674,8780,Gentstraat 26,+32 51 40 08 89,,
7354.,STORA ENSO BELGIUM,GENT,46180,36,n.b.,"2,299,124",0412 925 535,9000,Wondelgemkaai 200,+32 9 257 72 11,www.storaenso.com,storaenso.belgium@storaenso.com
7355.,BLIJ LEVEN,LIEVEGEM,87901,79,0,"6,633,490",0412 932 562,9950,Berg 8,+32 491 564 889,www.blijleven.be,info.blijleven@skynet.be
7356.,ACCTO,VEURNE,82110,22,n.b.,"2,696,350",0412 936 621,8630,Duinkerkestraat 17,+32 58 31 19 02,,
7357.,JEUGDZORG TER ELST,DUFFEL,87901,122,0,"9,268,513",0412 959 484,2570,Zandstraat 10,+32 15 30 75 75,www.jeugdzorgterelst.be,
7358.,TRAEN GEBROEDERS,ZEDELGEM,77399,12,n.b.,"6,018,254",0412 964 434,8210,Molendamstraat 11,+32 50 55 19 60,,traen.gebroeders@skynet.be
7359.,ETABLISSEMENTEN J BALLIERE,WAREGEM,14130,13,n.b.,"2,881,595",0412 972 550,8790,Marcel Windelsstraat 31,+32 56 60 13 22,,
7360.,ROOMKOETJE,WILRIJK,46331,14,n.b.,"3,713,600",0412 984 032,2610,Neerlandweg 6,+32 3 827 64 65,www.roomkoetje.be,info@roomkoetje.be
7361.,BUGA-LIMBURG,OEVEL,45113,20,n.b.,"3,171,859",0412 985 022,2260,Snelwegstraat 7,+32 11 26 35 00,www.buga.be,info@limburg.buga.be
7362.,OOSTERBOSCH EN ZONEN,MARTENSLINDE,46731,14,n.b.,"4,142,218",0412 998 581,3742,Riemsterweg 157,+32 89 41 13 68,www.oosterbosch.be,oosterbosch@cobonet.be
7363.,THEATER HOTEL,ANTWERPEN,55100,13,n.b.,"2,557,010",0413 049 259,2000,Arenbergstraat 30,+32 3 231 17 20,,info@theater-hotel.be
7364.,WILLCO PRODUCTS,NIEUWERKERKEN-BIJ-AALST,47789,19,n.b.,"3,943,581",0413 071 827,9320,Kwalestraat 72,+32 53 77 13 72,,willco.products@ping.be
7365.,M. DEWEER & ZN,DEERLIJK,43221,13,n.b.,"2,578,353",0413 079 349,8540,Schragenstraat 41,+32 56 77 71 98,www.deweer.be,
7366.,IMATEX,SCHOTEN,22290,36,n.b.,"3,604,849",0413 118 248,2900,Sluizenstraat 83,+32 3 658 39 44,www.207.58.170.160/~imatex,raluca.moldovan@imatex.ro
7367.,WLH,TESSENDERLO,43222,10,n.b.,"3,063,254",0413 121 218,3980,Industrieweg 47 b.A,+32 13 35 88 70,www.wlh.be,info@wlh.be
7368.,FERRIS,GENT,43999,11,n.b.,"9,767,869",0413 125 572,9042,Karel de Clercqstraat 1,+32 9 345 93 60,www.eyke.com,info@eyke.com
7369.,ZAMAN YVES & CO,GENT,43222,23,n.b.,"3,373,259",0413 136 856,9000,Wondelgemkaai 8,+32 9 253 91 24,www.zamangroep.be,zaman@cobonet.be
7370.,TRANSPORT JACQUES TAILLIE,ZEVENEKEN,49410,33,n.b.,"2,532,954",0413 176 151,9080,Ruilare 178,+32 9 355 77 23,www.perso.be,taillie@skynet.be
7371.,SPANBETON HOLLEVOET CHARLES,TORHOUT,23610,20,n.b.,"2,769,318",0413 202 677,8820,Keibergstraat 89,+32 50 21 26 92,,
