,Naam,Gemeente,"Personeelsbestand (Laatste jaar)
Laatst beschikb. jr","Omzet
EUR
Laatst beschikb. jr","Totaal der activa
EUR
Laatst beschikb. jr",WCM - Naam,Telefoon,E-mail adres,"BvD ID
nummer","Netto toegevoegde waarde
EUR
Laatst beschikb. jr",Ondernemingsnummer,Adres,Postcode,Web adres,"Ibid, omschrijving",Beursnotatie
6121,AGUA DULCE,OUD-HEVERLEE,1,n.b.,36348,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 47 10 27,,BE0477608994,823,0477 608 994,Waversebaan 266,3050,,Eetgelegenheden met volledige bediening,Niet beursgenoteerd
6122,LI-MATRANS,TIENEN,9,n.b.,576286,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 80 00 08,,BE0477610578,431045,0477 610 578,Ambachtenlaan 42,3300,,"Goederenvervoer over de weg, m.u.v. verhuisbedrijven",Niet beursgenoteerd
6123,VAN DE WIELE SERVICES,MALDEREN,1,n.b.,53750,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 52 55 31 49,,BE0477624535,28419,0477 624 535,Lippelostraat 87,1840,,Schilderen van gebouwen,Niet beursgenoteerd
6124,KASTEEL DE BUNSWYCK,LEUVEN,5,n.b.,130250,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 489 424 172,info@kasteeldebunswyck.be,BE0477637205,122680,0477 637 205,Brusselsestraat 125,3000,www.kasteeldebunswyck.be,Organisatie van congressen en beurzen,Niet beursgenoteerd
6125,VALENTYN-VAN HAUWERMEIREN,TERNAT,14,n.b.,3363038,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 476 414 008,,BE0477646806,1246395,0477 646 806,Essenestraat 18 b.B,1740,www.mte-huvema.be,"Groothandel in andere machines en werktuigen, n.e.g.",Niet beursgenoteerd
6126,LINCOLN ASSOCIATES,DIEGEM,1,n.b.,403218,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 223 55 39,,BE0477658682,186807,0477 658 682,Jan-Emiel Mommaertslaan 20 b.A,1831,www.sterling-careers.com,Arbeidsbemiddeling,Niet beursgenoteerd
6127,DASCRO,TILDONK,3,n.b.,914044,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 477 378 958,dascro@pandora.be,BE0477661751,388791,0477 661 751,Kruineikestraat 84,3150,,Dakwerkzaamheden,Niet beursgenoteerd
6128,SCHOENHANDEL SLAETS,TREMELO,2,n.b.,1155680,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 53 94 60,,BE0477669174,130847,0477 669 174,Schrieksebaan 54,3120,,Detailhandel in schoeisel in gespecialiseerde winkels,Niet beursgenoteerd
6129,GIS,BERG (BT.),5,n.b.,1965445,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 468 147 468,,BE0477681151,456369,0477 681 151,Duistboslaan 13,1910,,Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus  op het gebied van bedrijfsvoering,Niet beursgenoteerd
6130,FALKO HOTEL,WOLVERTEM,7,n.b.,2197670,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 263 04 50,info@falkohotel.be,BE0477681943,168813,0477 681 943,Stationsstraat 54 b.A,1861,www.falkohotel.be,Hotels en dergelijke accommodatie,Niet beursgenoteerd
6131,P & D ALGEMENE BOUW- EN RENOVATIEWERKEN,BEGIJNENDIJK,13,n.b.,389657,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 69 86 35,,BE0477685210,512321,0477 685 210,Sleutelbaan 164,3130,,Algemene bouw van residentiële gebouwen,Niet beursgenoteerd
6132,MEDICO,GRIMBERGEN,1,n.b.,816359,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 306 45 50,,BE0477697878,209682,0477 697 878,Hogesteenweg 8,1850,,Detailhandel in medische en orthopedische artikelen in gespecialiseerde winkels,Niet beursgenoteerd
6133,YV CONSULTING,EVERBERG,1,n.b.,133628,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 305 65 37,,BE0477707776,45722,0477 707 776,Sterrebeeksesteenweg 37,3078,,Boekhouders en boekhouders-fiscalisten,Niet beursgenoteerd
6134,FISCAAL ADVIESKANTOOR TERNAT,SINT-KATHERINA-LOMBEEK,4,n.b.,215796,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 582 21 22,,BE0477708370,328480,0477 708 370,Heidestraat 31,1742,,Boekhouders en boekhouders-fiscalisten,Niet beursgenoteerd
6135,OBELISK,HEVERLEE,34,n.b.,3224414,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 61 65 65,,BE0477725790,1606188,0477 725 790,Interleuvenlaan 74,3001,,Organisatie van congressen en beurzen,Niet beursgenoteerd
6136,WALLERS-ARENBERG,BEIGEM,1,n.b.,856797,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 306 94 45,,BE0477738361,128365,0477 738 361,Ten Doorn 15,1852,,Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus  op het gebied van bedrijfsvoering,Niet beursgenoteerd
6137,DINAMIC STAR - BELGIUM,SINT-PIETERS-LEEUW,1,n.b.,399758,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 428 73 92,,BE0477739351,82099,0477 739 351,Groot-Bijgaardenstraat 15,1600,,Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen (verkoopsoppervlakte tussen 100 m² en minder dan 400 m²),Niet beursgenoteerd
6138,'T WIMPELHOF,VELTEM-BEISEM,1,n.b.,1041044,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 48 19 89,,BE0477739450,173487,0477 739 450,Toverbergstraat 8,3020,,"Bemiddeling bij de aankoop, verkoop en verhuur van onroerend goed voor een vast bedrag of op contractbasis",Niet beursgenoteerd
6139,BOFRESH,ZOUTLEEUW,6,n.b.,516562,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 78 25 66,,BE0477740242,171004,0477 740 242,Durasweg 16,3440,www.2bo.be,"Groothandel in groenten en fruit, m.u.v. consumptieaardappelen",Niet beursgenoteerd
6140,STIEBEL ELTRON,GROOT-BIJGAARDEN,14,n.b.,2119100,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 423 22 22,,BE0477754593,1226361,0477 754 593,'t Hofveld 6 b.D,1702,,Vervaardiging van elektrische huishoudapparaten,Niet beursgenoteerd
6141,HOF TER LINT,BEIGEM,13,n.b.,3373680,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 269 21 67,,BE0477759939,1179252,0477 759 939,Daalstraat 121,1852,,Groothandel in zuivelproducten en eieren,Niet beursgenoteerd
6142,U2U CONSULT,ZELLIK,7,n.b.,971820,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 305 04 57,,BE0477765085,998197,0477 765 085,Z. 1 Researchpark 110,1731,,Computerconsultancy-activiteiten,Niet beursgenoteerd
6143,DETHA DOORS,PAMEL,5,n.b.,674096,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 304 56 44,,BE0477774785,413628,0477 774 785,Ninoofsesteenweg 19,1760,,Isolatiewerkzaamheden,Niet beursgenoteerd
6144,VIAKAN,BEERSEL,1,n.b.,936205,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 331 25 63,info@viakan.be,BE0477795868,380253,0477 795 868,Kasteelstraat 8 B,1650,www.viakan.be,"Groothandel in bouwmaterialen, algemeen assortiment",Niet beursgenoteerd
6145,AXELLE,LEUVEN,6,n.b.,826379,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 29 52 19,,BE0477813783,649308,0477 813 783,Bondgenotenlaan 161 C,3000,,Agenten en makelaars in bankdiensten,Niet beursgenoteerd
6146,DRIES,LEUVEN,16,n.b.,790270,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 498 792 971,,BE0477813882,900286,0477 813 882,Spaanse-Kroonlaan 41,3000,,Eetgelegenheden met beperkte bediening,Niet beursgenoteerd
6147,TRANSPORTBEDRIJF GOOVAERTS STEVEN,STEENOKKERZEEL,1,n.b.,394507,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 252 53 80,,BE0477844863,85746,0477 844 863,Artoisstraat 2,1820,,"Goederenvervoer over de weg, m.u.v. verhuisbedrijven",Niet beursgenoteerd
6148,SURI PREET,WILSELE,1,n.b.,133478,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 69 46 13,,BE0477865154,60789,0477 865 154,Aarschotsesteenweg 318,3012,,Wassen en poetsen van motorvoertuigen,Niet beursgenoteerd
6149,"JANSEN,WALLAYS & DE MEUTTER",LEUVEN,5,n.b.,4952538,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 24 11 90,,BE0477877725,644973,0477 877 725,Vaartstraat 59 b.1,3000,,Activiteiten van notarissen,Niet beursgenoteerd
6150,PAUWELS-SULMON,HALLE,3,n.b.,222064,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 360 29 98,,BE0477880396,103105,0477 880 396,Veugeleer 3,1500,,Detailhandel in motorbrandstoffen in gespecialiseerde winkels,Niet beursgenoteerd
6151,MISPELTER,VILVOORDE,3,n.b.,50539,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 252 13 00,,BE0477891284,45742,0477 891 284,Franklin Rooseveltlaan 95,1800,,Eetgelegenheden met volledige bediening,Niet beursgenoteerd
6152,DE NUL JO ADVOCATENKANTOOR,LENNIK,1,n.b.,24580,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 54 32 84 00,,BE0477913951,66427,0477 913 951,Ninoofsesteenweg 219,1750,,Activiteiten van advocaten,Niet beursgenoteerd
6153,MYRIAM VAN DEN BERGHE,TERVUREN,1,n.b.,41854,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 768 03 30,,BE0477915634,37137,0477 915 634,de Robianostraat 11,3080,,Activiteiten van advocaten,Niet beursgenoteerd
6154,FOL LIGHT & SOUND,WOLVERTEM,4,n.b.,770143,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 267 92 17,info@flsweb.be,BE0477950375,246553,0477 950 375,Ossegemstraat 22,1861,www.flsweb.be,Detailhandel in audio- en videoapparatuur in gespecialiseerde winkels,Niet beursgenoteerd
6155,CENTHO - CHOCOLATES,DUISBURG,2,n.b.,1722338,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 767 07 74,info@centho-chocolates.com,BE0477957206,281016,0477 957 206,Veeweidestraat 3,3080,www.centho-chocolates.com,"Vervaardiging van cacao, chocolade en suikerwerk",Niet beursgenoteerd
6156,OPTIEK PUNIE,LUBBEEK,3,n.b.,465438,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 32 24 82,info@optiekpunie.be,BE0477960471,139426,0477 960 471,Kwadeschuurstraat 22,3210,www.optiekpunie.be,Vervaardiging van medische en tandheelkundige instrumenten en benodigdheden,Niet beursgenoteerd
6157,BOUWWERKEN BEMA,SCHERPENHEUVEL,3,n.b.,72177,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 77 73 97,,BE0477962847,158170,0477 962 847,Ballaarstraat 33,3270,,Algemene bouw van residentiële gebouwen,Niet beursgenoteerd
6158,VINCA SERVICES,KAMPENHOUT,7,n.b.,1283237,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 49 00 98,info@tuinaanleg-vandenbosch.be,BE0477963540,515880,0477 963 540,Vekestraat 29B b.9,1910,www.tuinaanleg-vandenbosch.be/,Landschapsverzorging,Niet beursgenoteerd
6159,N.D.W.,MACHELEN (BT.),31,n.b.,3623008,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 475 829 740,,BE0477968884,1469893,0477 968 884,Beaulieustraat 6,1830,www.ndw.be,Elektrotechnische installatiewerken aan gebouwen,Niet beursgenoteerd
6160,NDW TECHNICS,MACHELEN (BT.),3,n.b.,442337,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 759 70 29,,BE0477968983,225554,0477 968 983,Beaulieustraat 6,1830,,"Overige zakelijke dienstverlening, n.e.g.",Niet beursgenoteerd
6161,A-VENUE,HEVERLEE,1,n.b.,927528,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 491 524 272,,BE0477973339,231365,0477 973 339,Naamsesteenweg 171 b.1,3001,,"Bemiddeling bij de aankoop, verkoop en verhuur van onroerend goed voor een vast bedrag of op contractbasis",Niet beursgenoteerd
6162,THIELEMANS SERVICES,BRUSSEGEM,14,n.b.,392375,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 269 28 68,,BE0477975121,907668,0477 975 121,Predikstoelstraat 4,1785,,Vervaardiging van metalen deuren en vensters,Niet beursgenoteerd
6163,MGH 2002,MACHELEN (BT.),28,n.b.,5487084,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 753 00 40,info@mgh2002.be,BE0477997984,2455325,0477 997 984,Rittwegerlaan 2B,1830,www.mgh2002.be,"Groothandel in andere machines en werktuigen, n.e.g.",Niet beursgenoteerd
6164,CHALLOCH ENERGY,OVERIJSE,2,n.b.,237291,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 688 32 32,,BE0477998182,128811,0477 998 182,Dennenboslaan 26,3090,,Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus  op het gebied van bedrijfsvoering,Niet beursgenoteerd
6165,KOWLOON TIENEN,TIENEN,4,n.b.,117058,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 81 55 17,,BE0478012535,128383,0478 012 535,Peperstraat 11,3300,,Eetgelegenheden met volledige bediening,Niet beursgenoteerd
6166,ERTRIJCKX,LANDEN,3,n.b.,1639981,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 83 21 28,,BE0478027381,248740,0478 027 381,Roosveld 11A,3400,,Landschapsverzorging,Niet beursgenoteerd
6167,KRISMA,RELEGEM,2,n.b.,440755,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 488 435 644,,BE0478053018,117966,0478 053 018,Dorpsstraat 4 A,1731,,Overige posterijen en koeriers,Niet beursgenoteerd
6168,TREVAN,TIENEN,1,n.b.,203024,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 78 10 81,,BE0478111713,5078,0478 111 713,Beauduinstraat 44,3300,www.checkinfortheworld.be,Reisbureaus,Niet beursgenoteerd
6169,LINDBERGH TRAVEL,GRIMBERGEN,1,n.b.,250662,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 269 76 37,,BE0478114681,21013,0478 114 681,Wolvertemsesteenweg 114,1850,,Reisbureaus,Niet beursgenoteerd
6170,"SALES, MERCHANDISING & STRATEGIC SOLUTIONS",VILVOORDE,11,n.b.,1519875,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 477 510 076,,BE0478121215,785827,0478 121 215,Hellestraat 7,1800,www.smssolutions.biz,Arbeidsbemiddeling,Niet beursgenoteerd
6171,PVDB COLLECTIONS,PAMEL,2,n.b.,3015457,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 54 32 10 15,info@sofaplus.be,BE0478125272,213832,0478 125 272,Ninoofsesteenweg 205,1760,www.sofaplus.be,Groothandel in niet-elektrische huishoudelijke artikelen,Niet beursgenoteerd
6172,BELLE DE JOUR,OVERIJSE,1,n.b.,82934,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 15 29 08 20,,BE0478139130,37115,0478 139 130,Schavei 26,3090,,Schoonheidsverzorging,Niet beursgenoteerd
6173,NL&D,STEENOKKERZEEL,2,n.b.,1727217,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 725 41 86,,BE0478146850,295613,0478 146 850,Damlaan 13,1820,,Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus  op het gebied van bedrijfsvoering,Niet beursgenoteerd
6174,DE COCK,HALLE-BOOIENHOVEN,2,n.b.,158968,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 67 18 88,,BE0478148038,63596,0478 148 038,Dungelstraat 52,3440,,Vervaardiging van medische en tandheelkundige instrumenten en benodigdheden,Niet beursgenoteerd
6175,THE MEXICAN,LEUVEN,2,n.b.,102454,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 23 44 68,,BE0478156847,68111,0478 156 847,Tiensestraat 21,3000,,Eetgelegenheden met volledige bediening,Niet beursgenoteerd
6176,VERZEKERINGEN LOUIS SCHREVENS,LUBBEEK,14,n.b.,2239671,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 77 22 77,,BE0478162092,960444,0478 162 092,Staatsbaan 4 b.C1,3210,,Verzekeringsagenten en -makelaars,Niet beursgenoteerd
6177,KINDEROPVANG LEUVEN,LEUVEN,44,n.b.,3001521,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 27 26 43,,BE0478167834,2363984,0478 167 834,Prof Van Overstraetenpln 1,3000,,Kinderdagverblijven en crèches,Niet beursgenoteerd
6178,CASQUE D'OR,ITTERBEEK,2,n.b.,2280293,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 473 451 100,,BE0478168230,392679,0478 168 230,Doylijkstraat 127,1701,,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
6179,ACTIVE IT,GRIMBERGEN,1,n.b.,423582,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 272 48 58,,BE0478178920,47209,0478 178 920,Poddegemstraat 94,1850,,"Groothandel in andere kantoormachines en kantoorbenodigdheden, met uitzondering van computers en randapparatuur",Niet beursgenoteerd
6180,IMMO WILLEMS,ERPS-KWERPS,2,n.b.,576397,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 759 96 53,info@immowillems.be,BE0478194756,153631,0478 194 756,Leuvensesteenweg 587,3071,www.immowillems.be,"Bemiddeling bij de aankoop, verkoop en verhuur van onroerend goed voor een vast bedrag of op contractbasis",Niet beursgenoteerd
6181,OKALOA,HUMBEEK,1,n.b.,268252,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 270 03 54,,BE0478205050,54736,0478 205 050,Egelantierlaan 17,1851,,Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus  op het gebied van bedrijfsvoering,Niet beursgenoteerd
6182,QSOURCES,KAGGEVINNE,4,n.b.,1013953,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 33 65 64,,BE0478212968,385802,0478 212 968,Ketelwinning 38,3293,,"Vervaardiging van meet-, controle- en navigatie-instrumenten  en -apparatuur",Niet beursgenoteerd
6183,'T ANEMOONTJE,MEISE,1,n.b.,104888,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 305 74 07,info@anemoontje-msa.telenet.be,BE0478217423,50906,0478 217 423,Alfred Van Campenhoutlaan 41,1860,,Detailhandel in vis en schaal- en weekdieren in gespecialiseerde winkels,Niet beursgenoteerd
6184,TRAITEUR VAN DEUN,SINT-STEVENS-WOLUWE,1,n.b.,239287,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 477 441 322,,BE0478265329,127733,0478 265 329,Hendrik Thumasplein 33,1932,,"Vervaardiging van andere voedingsmiddelen, n.e.g.",Niet beursgenoteerd
6185,T.P.H. D'HERDE,HOEILAART,3,n.b.,219061,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 657 97 90,,BE0478292152,235705,0478 292 152,Gemeenteplein 34,1560,,Tandartspraktijken,Niet beursgenoteerd
6186,ECOSEARCH,HULDENBERG,3,n.b.,38528812,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 785 02 02,ecosearch@pandora.be,BE0478297892,598243,0478 297 892,Victor Philipsstraat 22,3040,,Overige persoonlijke diensten,Niet beursgenoteerd
6187,AIR LOGISTICS,MACHELEN (BT.),6,n.b.,3435603,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 252 46 87,,BE0478299278,1109609,0478 299 278,Bedrijven Machelen-Cargo 706 b.3,1830,,Diensten in verband met de luchtvaart,Niet beursgenoteerd
6188,CAMELEON BUSINESS TRAINING,ZAVENTEM,1,n.b.,200866,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 266 89 99,info@cameleontraining.be,BE0478299377,-3961,0478 299 377,Da Vincilaan 1,1930,www.cameleontraining.be,Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus  op het gebied van bedrijfsvoering,Niet beursgenoteerd
6189,LANDSRODE,OVERIJSE,5,n.b.,1574163,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 687 78 31,,BE0478328081,455839,0478 328 081,Nijvelsebaan 145,3090,,"Teelt van granen (m.u.v. rijst), peulgewassen en oliehoudende zaden",Niet beursgenoteerd
6190,TANKSTATION VANMOL,BOUTERSEM,2,n.b.,788358,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 73 36 28,opel.vanmol.jozef@skynet.be,BE0478332536,205975,0478 332 536,Leuvensesteenweg 426,3370,,"Detailhandel in vaste, vloeibare en gasvormige brandstoffen in gespecialiseerde winkels, m.u.v. motorbrandstoffen",Niet beursgenoteerd
6191,INGENIOR,DIEST,1,n.b.,196208,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0478332734,-85329,0478 332 734,Mariëndaalstraat 42 b.1,3290,,Holdings,Niet beursgenoteerd
6192,DENT-ART,ALSEMBERG,6,n.b.,700903,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 380 57 61,,BE0478334615,417212,0478 334 615,Alsembergsteenweg 1022,1652,,Tandartspraktijken,Niet beursgenoteerd
6193,MEUBILO,SINT-GENESIUS-RODE,2,n.b.,193865,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 475 967 625,,BE0478336197,86476,0478 336 197,Lindestraat 38,1640,,Schrijnwerk,Niet beursgenoteerd
6194,RIJSCHOOL DEWULF,TERNAT,5,n.b.,319203,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 475 766 445,,BE0478346689,239450,0478 346 689,Gemeentehuisstraat 38,1740,,Autorijscholen,Niet beursgenoteerd
6195,TANDARTSENPRAKTIJK SUYS,HERNE,1,n.b.,694372,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 54 58 80 40,,BE0478348174,130520,0478 348 174,Kramerijkstraat 3,1540,,Tandartspraktijken,Niet beursgenoteerd
6196,STRUYS & VAN BRABANT,ASSE,3,n.b.,418676,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 495 518 358,,BE0478379947,163375,0478 379 947,Langestraat 121,1730,,Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus  op het gebied van bedrijfsvoering,Niet beursgenoteerd
6197,TAES KEUKENS & INTERIEUR,ATTENRODE,3,n.b.,473644,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 77 72 72,,BE0478392320,193968,0478 392 320,Driespad 9,3384,,Schrijnwerk,Niet beursgenoteerd
6198,BANDEN REDANT ZEMST,EPPEGEM,16,n.b.,2003894,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 255 09 99,,BE0478393310,992919,0478 393 310,Hoge Buizen 11,1980,www.redant-banden.be,Handelsbemiddeling en groothandel in onderdelen en accessoires van motorvoertuigen,Niet beursgenoteerd
6199,SIALKA,OVERIJSE,12,n.b.,3239768,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 769 70 00,info@simovision.be,BE0478407067,660046,0478 407 067,Kleinveldweg 33,3090,www.simovision.be,Detailhandel in medische en orthopedische artikelen in gespecialiseerde winkels,Niet beursgenoteerd
6200,DR.GUY ODENT,LEUVEN,1,n.b.,902383,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 29 26 12,,BE0478408849,262557,0478 408 849,Oude Rondelaan 50,3000,,Praktijken van specialisten,Niet beursgenoteerd
6201,AUTO - BEUTELS,HALLE,2,n.b.,823783,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 356 65 75,,BE0478415579,185323,0478 415 579,Nijvelsesteenweg 529,1500,,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
6202,LOKAAL GEZONDHEIDSOVERLEG OOST-BRABANT,HERENT,7,n.b.,361444,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 46 49 70,,BE0478422509,516272,0478 422 509,Kloosterweg 9,3020,,Verenigingen op het vlak van ziektepreventie en gezondheidsbevordering,Niet beursgenoteerd
6203,CORNELISSEN STEPHAN,TIELT (BT.),1,n.b.,207036,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 477 745 791,stephan.cornelissen@skynet.be,BE0478434979,57878,0478 434 979,Blerebergstraat 161,3390,,Overige werkzaamheden in verband met de afwerking van gebouwen,Niet beursgenoteerd
6204,APOTHEEK HOEVENAEGHEL,HULDENBERG,2,n.b.,943247,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 687 62 35,,BE0478443293,398876,0478 443 293,René Borremansstraat 13,3040,,Holdings,Niet beursgenoteerd
6205,DEN OUDE TIJD,LEUVEN,2,n.b.,62730,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 22 49 31,,BE0478443392,66460,0478 443 392,Tiensevest 22,3000,,Cafés en bars,Niet beursgenoteerd
6206,THIENPONDT,VILVOORDE,3,n.b.,1551226,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 261 02 09,,BE0478463386,469061,0478 463 386,Lenterik 15,1800,,Elektrotechnische installatiewerken aan gebouwen,Niet beursgenoteerd
6207,B - PLANEET,MEISE,1,n.b.,302495,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 269 17 94,,BE0478472294,32647,0478 472 294,Kapellelaan 360,1860,,Detailhandel in spellen en speelgoed in gespecialiseerde winkels,Niet beursgenoteerd
6208,DSZ GEJO,SINT-JORIS-WINGE,4,n.b.,471302,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 63 50 55,,BE0478495753,140648,0478 495 753,Gouden Kruispunt 28,3390,,"Detailhandel in huisdieren, voedsel voor huisdieren en benodigdheden daarvoor in gespecialiseerde winkels",Niet beursgenoteerd
